?nwbibId	?item	?itemLabel	?types	?coordinates
"https://nwbib.de/spatial#Q1599076"	<http://www.wikidata.org/entity/Q1599076>	"Holthausen"@de	"http://www.wikidata.org/entity/Q1852178"	"Point(6.831666666 51.171944444)"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"https://nwbib.de/spatial#Q458242"	<http://www.wikidata.org/entity/Q458242>	"Köln-Porz (Stadtbezirk)"@de	"http://www.wikidata.org/entity/Q15632133"	"Point(7.055277777 50.887777777)"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"https://nwbib.de/spatial#Q15549893"	<http://www.wikidata.org/entity/Q15549893>	"Jöllenbeck"@de	"http://www.wikidata.org/entity/Q253019"	"Point(8.75583333 52.19472222)"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"https://nwbib.de/spatial#N28"	<http://www.wikidata.org/entity/Q152356>	"Eifel"@de	"http://www.wikidata.org/entity/Q46831, http://www.wikidata.org/entity/Q674541, http://www.wikidata.org/entity/Q82794"	"Point(6.813052777 50.417105555)"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"https://nwbib.de/spatial#Q242458"	<http://www.wikidata.org/entity/Q242458>	"Kalletal"@de	"http://www.wikidata.org/entity/Q262166"	"Point(8.949722222 52.116666666)"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"https://nwbib.de/spatial#Q1367000"	<http://www.wikidata.org/entity/Q1367000>	"Eschenbruch"@de	"http://www.wikidata.org/entity/Q253019"	"Point(9.17306 51.9606)"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"https://nwbib.de/spatial#Q153782"	<http://www.wikidata.org/entity/Q153782>	"Kessenich"@de	"http://www.wikidata.org/entity/Q253019"	"Point(7.10884 50.7126)"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"https://nwbib.de/spatial#Q15115136"	<http://www.wikidata.org/entity/Q15115136>	"Holthausen"@de	"http://www.wikidata.org/entity/Q253019"	"Point(7.37722222 52.035)"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"https://nwbib.de/spatial#Q1372294"	<http://www.wikidata.org/entity/Q1372294>	"Euelsloch"@de	"http://www.wikidata.org/entity/Q253019"	"Point(7.71583 50.8817)"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"https://nwbib.de/spatial#Q73075"	<http://www.wikidata.org/entity/Q73075>	"Lüchtringen"@de	"http://www.wikidata.org/entity/Q253019"	"Point(9.4275 51.7939)"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"https://nwbib.de/spatial#Q1625098"	<http://www.wikidata.org/entity/Q1625098>	"Holsen"@de	"http://www.wikidata.org/entity/Q253019"	"Point(8.51639 52.2072)"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"https://nwbib.de/spatial#Q1678593"	<http://www.wikidata.org/entity/Q1678593>	"Schwaney"@de	"http://www.wikidata.org/entity/Q253019"	"Point(8.93333333 51.71388889)"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"https://nwbib.de/spatial#Q48181244"	<http://www.wikidata.org/entity/Q48181244>	"Königshof"@de	"http://www.wikidata.org/entity/Q253019"	"Point(6.584711111 51.31515)"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
"https://nwbib.de/spatial#Q1670041"	<http://www.wikidata.org/entity/Q1670041>	"Puffendorf"@de	"http://www.wikidata.org/entity/Q253019"	"Point(6.208611111 50.937222222)"^^<http://www.opengis.net/ont/geosparql#wktLiteral>
