"Aachener Kunstblätter / Museumsverein Aachen","http://nwbib.de/HT001386285"
"Abhandlungen aus dem Westfälischen Museum für Naturkunde","http://nwbib.de/HT002154232"
"ABI-Technik : Zeitschrift für Automation, Bau und Technik im Archiv-, Bibliotheks- und Informationswesen","http://nwbib.de/HT002182357"
"ABU-Info / Arbeitsgemeinschaft Biologischer Umweltschutz im Kreis Soest","http://nwbib.de/HT006890171"
"Abwasserreport / Kommunal- und Abwasserberatung NRW GmbH","http://nwbib.de/HT015346735"
"Achera : Beiträge zur Geschichte der Gemeinde Overath","http://nwbib.de/HT006927594"
"Acta biologica Benrodis / Museum für Naturkunde, Benrath","http://nwbib.de/HT007031981"
"Acta Universitatis Carolinae / Studia Territorialia","http://nwbib.de/HT013426261"
"Agard-Magazin : die Zeitschrift der AGARD, Arbeitsgemeinschaft Amphibien- und Reptilienschutz in Dortmund","http://nwbib.de/HT011135524"
"Agrar- und Umweltrecht : Zeitschrift für das gesamte Recht der Landwirtschaft, der Agrarmärkte und des ländlichen Raumes","http://nwbib.de/HT013574325"
"Ahauser Heimatbrief / Heimatverein Ahaus von 1902 e.V.","http://nwbib.de/HT015080209"
"AKP : Fachzeitschrift für alternative Kommunalpolitik","http://nwbib.de/HT004019790"
"Aktive Senioren : das Magazin für Schwerte","http://nwbib.de/HT007497332"
"Alte und neue Kunst / Verein für christliche Kunst im Erzbistum Paderborn und in den Bistümern Fulda und Hildesheim e.V.","http://nwbib.de/HT007007347"
"Altenberger Blätter : Beiträge aus der Vergangenheit und Gegenwart Altenbergs","http://nwbib.de/HT009821451"
"An Bigge, Lenne und Fretter : heimatkundliche Beiträge aus der Gemeinde Finnentrop","http://nwbib.de/HT007216566"
"An Möhne, Röhr und Ruhr / Heimatbund Neheim-Hüsten e.V.","http://nwbib.de/HT007066969"
"An Niers und Kendel : historische Zeitschrift für Stadt Goch und Umgebung","http://nwbib.de/HT006981789"
"An Ruhr, Valme und Elpe : heimatkundliche Beiträge aus den Dörfern der Gemeinde Bestwig","http://nwbib.de/HT015783600"
"Analecta Coloniensia : Jahrbuch der Diözesan- und Dombibliothek Köln","http://nwbib.de/HT013557848"
"Andererseits : yearbook of transatlantic German studies","http://nwbib.de/HT016411554"
"Angelmodde : Chronik des ""Heimatfreunde Angelmodde e.V.""","http://nwbib.de/HT007046060"
"Annalen des Historischen Vereins für den Niederrhein, insbesondere das Alte Erzbistum Köln","http://nwbib.de/HT000178865"
"Anrather Heimatbuch / Bürgerverein Anrath e.V.","http://nwbib.de/HT007000181"
"Anschnitt : Mitteilungsblatt der Vereinigung der Freunde von Kunst und Kultur im Bergbau","http://nwbib.de/HT001391026"
"Antike Welt : Zeitschrift für Archäologie und Kulturgeschichte","http://nwbib.de/HT001310619"
"Arbeitsblätter des Arbeitskreises Nordrhein-Westfälischer Papierrestauratoren","http://nwbib.de/HT007037604"
"Archäologie im Rheinland / Landschaftsverband Rheinland, Rheinisches Amt für Bodendenkmalpflege","http://nwbib.de/HT017784848"
"Archäologie in Deutschland / Verband der Landesarchäologen in der Bundesrepublik Deutschland","http://nwbib.de/HT003374528"
"Archäologie in Ostwestfalen : Jahresgabe / Gesellschaft zur Förderung der Archäologie in Ostwestfalen e.V.","http://nwbib.de/HT007754287"
"Archäologie in Westfalen-Lippe / LWL-Archäologie für Westfalen ; Altertumskommission für Westfalen","http://nwbib.de/HT016604485"
"Archäologische Informationen : Mitteilungen zur Ur- und Frühgeschichte","http://nwbib.de/HT006903709"
"Archäologisches Korrespondenzblatt : Urgeschichte, Römerzeit, Frühmittelalter","http://nwbib.de/HT004277812"
"Architectura : Zeitschrift für Geschichte der Baukunst","http://nwbib.de/HT005066181"
"Archiv : Magazin für Kommunikationsgeschichte","http://nwbib.de/HT013395134"
"Archiv des Badewesens : Fachzeitschrift für Praxis, Technik, Wissenschaft und Betriebswirtschaft","http://nwbib.de/HT005077187"
"Archiv für Familiengeschichtsforschung : AfF","http://nwbib.de/HT007519910"
"Archiv für Reformationsgeschichte : internationale Zeitschrift zur Erforschung der Reformation und ihrer Weltwirkungen","http://nwbib.de/HT005065979"
"Archiv für Sozialgeschichte / Friedrich-Ebert-Stiftung","http://nwbib.de/HT002183670"
"Archiv und Wirtschaft : Zeitschrift für das Archivwesen der Wirtschaft","http://nwbib.de/HT005066180"
"Archivar : Zeitschrift für Archivwesen","http://nwbib.de/HT001387888"
"Archivmitteilungen / Evangelische Kirche von Westfalen, Landeskirchliches Archiv","http://nwbib.de/HT012620924"
"Archivpflege in Westfalen-Lippe / LWL, Archivamt für Westfalen","http://nwbib.de/HT013752982"
"ATT : Europas größte Astronomie-Börse in Essen","http://nwbib.de/HT018498827"
"Attendorn gestern und heute / Verein für Orts- und Heimatkunde Attendorn e.V.","http://nwbib.de/HT006989177"
"Auf Klei und Sand : Jahresbericht des Heimatvereins Wadersloh","http://nwbib.de/HT007061513"
"Aus dem Antiquariat : Zeitschrift für Antiquare und Büchersammler","http://nwbib.de/HT001381996"
"Aus evangelischen Archiven","http://nwbib.de/HT007063129"
"Ausgrabungen und Funde in Westfalen-Lippe : AFWL","http://nwbib.de/HT003552573"
"Bauhandwerk : Fachzeitschrift für die gewerkeübergreifende Bauausführung in Neubau und Sanierung","http://nwbib.de/HT007015523"
"Baumeister : Zeitschrift für Architektur","http://nwbib.de/HT001381293"
"Baurecht : Zeitschrift für das gesamte öffentliche und zivile Baurecht","http://nwbib.de/HT005061919"
"Bauwelt","http://nwbib.de/HT005072105"
"Beflügelte Aal : Heimatliches aus Ahlen, Vorhelm, Dolberg","http://nwbib.de/HT006989242"
"Beiträge zur Chronik Zyfflichs : Schriftenreihe der Dorfgemeinschaft Zyfflich","http://nwbib.de/HT014177943"
"Beiträge zur Geschichte der Stadt Emmerich / Emmericher Geschichtsverein e.V.","http://nwbib.de/HT004951306"
"Beiträge zur Geschichte der Stadt Hennef","http://nwbib.de/HT015469255"
"Beiträge zur Geschichte Dortmunds und der Grafschaft Mark / Historischer Verein für Dortmund und die Grafschaft Mark","http://nwbib.de/HT001369034"
"Beiträge zur Heimatkunde der Stadt Schwelm und ihrer Umgebung / Verein für Heimatkunde Schwelm","http://nwbib.de/HT001390988"
"Beiträge zur Heimatkunde der Städte Löhne und Bad Oeynhausen / Heimatverein der Stadt Löhne e.V.","http://nwbib.de/HT006997497"
"Beiträge zur Heimatkunde für Iserlohn und den märkischen Raum / Förderkreis Iserlohner Museen","http://nwbib.de/HT009417363"
"Beiträge zur Lügder Geschichte : heimat- und familienkundliche Reihe zur Geschichte Lügdes, der ehemaligen Residenzstadt der Grafschaft Pyrmont sowie der alten Grafschaft Pyrmont","http://nwbib.de/HT007038397"
"Beiträge zur Naturkunde zwischen Egge und Weser / Naturkundlicher Verein Egge-Weser","http://nwbib.de/HT014526405"
"Beiträge zur Oberbergischen Geschichte / Oberbergische Abt. 1924 e.V. des Bergischen Geschichtsvereins","http://nwbib.de/HT007053555"
"Beiträge zur Rheinkunde : Mitteilungen des Vereins Rhein-Museum e.V.","http://nwbib.de/HT006911909"
"Beiträge zur Tier- und Pflanzenwelt des Kreises Siegen-Wittgenstein / Biologische Station Rothaargebirge. NABU, Kreisverband Siegen-Wittgenstein","http://nwbib.de/HT012347000"
